Datum;Unfaelle_mit_Alkoholeinfluss;Unfaelle_Fahrrad;Unfaelle_Motorrad_roller;Verunglueckte_Kinder_u15J;Verunglueckte_Fussgaenger;Verunglueckte_auf_EScooter;Getoetete_insgesamt;PKWPersschaden
04.12.2005;225;47;11;46;73;;15;503
05.12.2005;114;179;40;106;176;;14;1014
06.12.2005;86;177;24;86;153;;13;842
07.12.2005;109;183;28;117;171;;12;825
08.12.2005;128;200;32;106;160;;16;915
09.12.2005;152;147;32;109;151;;20;889
10.12.2005;289;78;16;69;127;;15;663
11.12.2005;202;35;14;30;48;;12;359
12.12.2005;82;192;32;85;170;;12;960
13.12.2005;98;176;21;90;141;;15;851
14.12.2005;112;171;26;97;151;;15;857
15.12.2005;101;158;30;84;186;;17;895
16.12.2005;178;184;19;112;271;;19;1147
17.12.2005;290;47;4;68;79;;9;802
18.12.2005;213;29;5;47;45;;13;424
19.12.2005;94;141;11;85;180;;10;885
20.12.2005;100;136;19;89;147;;15;756
21.12.2005;90;159;27;88;147;;12;808
22.12.2005;161;139;21;85;135;;21;873
23.12.2005;196;127;27;72;129;;17;856
24.12.2005;220;45;7;32;55;;15;421
25.12.2005;179;19;4;53;25;;17;414
26.12.2005;144;20;3;65;22;;12;547
27.12.2005;96;36;7;48;73;;6;512
28.12.2005;92;27;5;43;63;;6;452
29.12.2005;88;29;5;45;57;;3;433
30.12.2005;101;29;1;40;68;;9;462
31.12.2005;137;23;2;35;38;;6;342
01.01.2010;331;11;3;16;85;;18;364
02.01.2010;71;24;1;28;48;;8;360
03.01.2010;71;6;2;26;32;;4;274
04.01.2010;48;40;1;39;73;;6;424
05.01.2010;53;32;4;37;67;;6;430
06.01.2010;73;30;1;19;50;;5;334
07.01.2010;59;49;2;42;76;;3;525
08.01.2010;64;34;1;51;77;;5;569
09.01.2010;117;10;0;42;31;;6;477
10.01.2010;117;8;0;17;32;;4;286
11.01.2010;46;34;0;42;79;;7;558
12.01.2010;54;23;1;28;78;;9;373
13.01.2010;54;29;3;45;68;;9;493
14.01.2010;52;46;2;31;84;;4;456
15.01.2010;66;50;1;51;99;;5;475
16.01.2010;137;19;0;30;52;;9;383
17.01.2010;170;15;2;18;30;;7;344
18.01.2010;59;80;2;43;97;;6;515
19.01.2010;56;82;4;66;107;;5;535
20.01.2010;63;86;3;49;90;;4;499
21.01.2010;64;70;3;39;78;;4;455
22.01.2010;78;71;5;62;85;;4;448
23.01.2010;144;39;5;30;45;;7;319
24.01.2010;134;14;1;22;29;;8;305
25.01.2010;63;38;2;52;80;;6;590
26.01.2010;56;55;0;55;77;;7;579
27.01.2010;45;32;4;53;89;;3;487
28.01.2010;66;40;0;55;75;;10;709
29.01.2010;100;67;3;64;105;;9;841
30.01.2010;161;12;1;54;61;;3;608
31.01.2010;128;13;0;31;30;;2;257
01.02.2010;60;60;1;53;102;;12;643
02.02.2010;67;41;1;47;103;;10;677
03.02.2010;47;59;2;47;97;;9;619
04.02.2010;67;68;5;47;102;;7;490
05.02.2010;76;69;4;43;102;;8;520
06.02.2010;166;40;2;37;68;;6;367
07.02.2010;123;20;4;21;29;;7;194
08.02.2010;37;54;7;34;77;;3;385
09.02.2010;35;63;6;55;89;;10;433
10.02.2010;45;46;3;58;66;;5;636
11.02.2010;74;42;1;68;90;;4;753
12.02.2010;103;25;2;47;89;;6;598
13.02.2010;152;13;1;56;55;;10;408
14.02.2010;200;10;1;22;38;;3;312
15.02.2010;98;20;0;41;68;;7;425
16.02.2010;61;40;2;34;69;;5;435
17.02.2010;40;43;1;48;92;;3;393
18.02.2010;58;62;4;53;82;;5;464
19.02.2010;81;64;7;43;82;;2;518
20.02.2010;112;66;11;34;61;;3;368
21.02.2010;131;22;6;24;27;;7;240
22.02.2010;48;88;8;57;93;;12;518
23.02.2010;53;81;10;43;103;;7;476
24.02.2010;45;89;11;41;92;;7;509
25.02.2010;63;127;10;72;99;;5;554
26.02.2010;63;98;10;68;130;;11;628
27.02.2010;151;81;27;58;82;;3;511
28.02.2010;130;31;4;33;33;;7;274
01.03.2010;46;126;26;80;95;;9;650
02.03.2010;44;116;28;59;94;;12;587
03.03.2010;46;134;26;65;89;;8;613
04.03.2010;57;139;32;66;83;;9;564
05.03.2010;81;97;30;83;110;;6;737
06.03.2010;203;34;6;71;50;;14;943
07.03.2010;135;18;12;39;36;;5;369
08.03.2010;58;101;10;63;94;;6;610
09.03.2010;52;105;11;75;94;;9;660
10.03.2010;36;97;16;65;67;;10;569
11.03.2010;57;84;12;46;88;;10;661
12.03.2010;89;96;10;70;82;;8;640
13.03.2010;171;45;12;39;47;;5;377
14.03.2010;141;25;5;38;30;;8;285
15.03.2010;54;129;11;86;119;;10;677
16.03.2010;56;103;14;56;83;;5;511
17.03.2010;49;136;44;60;84;;11;524
18.03.2010;78;201;57;85;100;;10;637
19.03.2010;89;157;49;100;89;;10;642
20.03.2010;162;93;32;36;72;;14;518
21.03.2010;139;49;23;30;34;;9;330
22.03.2010;57;203;45;78;91;;7;648
23.03.2010;49;212;65;88;90;;9;634
24.03.2010;66;237;82;88;98;;8;710
25.03.2010;83;236;77;91;95;;8;662
26.03.2010;102;192;44;105;108;;8;767
27.03.2010;149;101;37;63;59;;6;494
28.03.2010;157;49;20;43;23;;3;314
29.03.2010;67;161;36;77;75;;3;646
30.03.2010;58;192;52;79;69;;12;619
31.03.2010;61;187;36;78;92;;8;619
01.04.2010;106;156;48;76;77;;8;728
02.04.2010;142;76;117;53;39;;17;407
03.04.2010;151;124;50;86;74;;16;487
04.04.2010;165;32;17;30;28;;2;270
05.04.2010;98;63;51;37;35;;14;307
06.04.2010;63;217;116;99;90;;9;742
07.04.2010;72;227;147;74;93;;19;713
08.04.2010;63;204;57;83;69;;11;627
